,node,x_pos,y_pos
0,0,-0.5225860279403638,0.7861479531162063
1,1,-0.038442514840386854,-0.7056924859252182
2,2,0.7840529237257923,0.7476493943623376
3,3,0.011774111917644835,0.8208787741754501
4,4,0.8198713138943668,-0.5596833725442831
5,5,-0.051779582371215126,-0.12729780400401902
6,6,-0.9437850996123156,-0.07892676269052565
7,7,-0.9196999296072191,0.2643735314074214
8,8,-0.39362056465221335,-0.36080024401686567
9,9,0.5345158362425534,-0.6505134110146752
10,10,-0.3203177558986052,0.039360131873800865
11,11,0.39289384282677986,0.7117245249374468
12,12,0.9999999999999999,0.08763534111276755
13,13,-0.352876553684818,-0.9748555707898436
