,community,h_degree
0,0,1
1,1,1
2,2,6
3,3,1
4,4,1
5,5,2
6,6,2
7,7,1
8,8,2
9,9,3
10,10,12
11,11,1
12,12,1
13,13,1
14,14,3
15,15,6
