,node,x_pos,y_pos
0,0,0.7101830059819211,0.7598118187724582
1,1,-0.7790095822297711,0.6759934066165522
2,2,-0.8300541320030055,0.03584004157622705
3,3,0.08920186614851264,-0.02753370645741571
4,4,0.2813679022554711,-0.8666957742030753
5,5,-0.954656008705445,0.3364420888666962
6,6,0.44889963066696625,-0.5300050135786921
7,7,-0.43627573092978833,-0.02042282913190179
8,8,-0.35073094807520694,-0.9043399088495909
9,9,0.5204213568867936,0.0006116217522896114
10,10,-0.28805591066457054,0.9531958233281477
11,11,0.02607328882701751,-1.0
12,12,0.967761272937709,0.3753894338706349
13,13,0.9898573725833463,-0.07563087816622123
14,14,-0.585555962812708,-0.7000294316276096
15,15,0.19057257913275766,0.9873733072315009
