,node,x_pos,y_pos
0,0,-0.76501035636915,0.6036268777977346
1,1,0.7439585653617066,0.5340608004313195
2,2,-0.317751023001281,0.8538668583782077
3,3,0.9452480313642079,-0.41153402987735815
4,4,-0.325128830297118,-0.31421327739150323
5,5,0.4350525098541683,0.41756013585164503
6,6,0.9254899194014017,0.05953269412516276
7,7,0.33695051974432977,-0.8823686938326106
8,8,0.4214331367848727,-0.10262979239215905
9,9,0.6751300858602116,-0.8146878078932738
10,10,0.23281719662872735,0.8670943695352928
11,11,-0.794275531729747,-0.6809670555547732
12,12,-0.05886047772376392,0.807428291342675
13,13,-0.9458845683031568,0.22207287168007805
14,14,-0.509169177575409,-0.9588841158680126
15,15,-1.0,-0.19995812633242604
