,source,target,weight
0,0,1,11
1,0,8,15
2,0,4,23
3,0,5,12
4,0,7,3
5,0,9,1
6,1,8,350
7,1,6,446
8,1,12,27
9,1,13,4
10,1,4,3
11,1,7,12
12,1,9,6
13,8,6,480
14,8,7,247
15,8,5,108
16,8,9,4
17,8,4,58
18,8,2,1
19,4,10,248
20,4,11,891
21,4,14,40
22,4,7,4
23,4,6,1
24,4,5,2
25,5,15,1
26,5,2,292
27,5,3,25
28,5,7,39
29,6,7,43
30,6,9,1
31,7,9,27
32,9,15,6
33,10,11,1
34,11,14,14
35,2,3,1
