,source,target,weight
0,0,1,9
1,0,7,9
2,0,3,23
3,0,4,10
4,0,6,1
5,1,7,324
6,1,5,457
7,1,10,27
8,1,11,4
9,1,3,3
10,1,6,11
11,1,13,6
12,7,5,507
13,7,6,246
14,7,4,109
15,7,13,4
16,7,3,58
17,7,14,1
18,3,9,889
19,3,8,314
20,3,2,40
21,3,6,4
22,3,5,1
23,3,4,2
24,4,12,1
25,4,14,292
26,4,15,25
27,4,6,40
28,5,6,42
29,5,13,1
30,6,13,28
31,13,12,6
32,9,2,14
33,9,8,3
34,14,15,1
