,community,density
0,0,0.046582071223905036
1,1,0.06533041161811463
2,2,0.7543859649122807
3,3,0.17742345983980837
4,4,0.06084217158458469
5,5,0.11882963662104766
6,6,0.13780645161290322
7,7,0.17677843106096722
8,8,0.11818723911747167
9,9,0.5915397268111278
10,10,0.8666666666666667
11,11,0.11581920903954802
12,12,0.09391427894861473
13,13,0.03573573172847249
14,14,0.22025565388397247
15,15,0.7953216374269005
