,community,h_degree
8,8,1045
5,5,792
4,4,755
9,9,547
0,0,347
11,11,294
1,1,231
15,15,170
2,2,137
6,6,130
10,10,70
13,13,59
7,7,43
12,12,25
14,14,24
3,3,20
