,node,x_pos,y_pos
0,0,0.8510104511789875,-0.2725247584443717
1,1,0.0365256825156677,0.1399376552219105
2,2,0.824779355779304,-0.6974473779551487
3,3,-0.2901429186182874,0.2266230400770938
4,4,0.12936890051529526,0.9524456674634441
5,5,0.2710051302465428,-0.9325911791439764
6,6,-0.8409893049645449,0.1680449565902281
7,7,0.7881625393313059,0.8069733653090707
8,8,-0.5059814280235722,-0.8822069960371606
9,9,1.0,0.038273667231566375
10,10,-0.8292880906288106,-0.627573773105312
11,11,-0.06871941217209522,0.9072844869416717
12,12,-0.47804301343582106,0.6173095898975103
13,13,-0.6230240768317752,0.7480377595779314
14,14,-0.7109078867910578,-0.35345498633621064
15,15,0.4462440718988608,-0.8391311172882472
