,community,h_degree
0,0,1
1,1,1
2,2,6
3,3,1
4,4,1
5,5,1
6,6,2
7,7,6
8,8,2
9,9,3
10,10,1
11,11,9
12,12,3
13,13,12
14,14,1
15,15,1
