,community,density
0,0,0.046582071223905036
1,1,0.06533041161811463
2,2,0.22025565388397247
3,3,0.1189296231313038
4,4,0.05922407290371246
5,5,0.12091610099417341
6,6,0.1519304450338933
7,7,0.17469671797122346
8,8,0.7953216374269005
9,9,0.5654490106544902
10,10,0.5915397268111278
11,11,0.8666666666666667
12,12,0.11581920903954802
13,13,0.09391427894861473
14,14,0.03573573172847249
