,source,target,weight
0,0,0,0.0
1,0,1,478.0
2,0,2,492.0
3,0,3,32.0
4,0,4,1.0
5,0,5,101.0
6,0,6,0.0
7,1,0,478.0
8,1,1,0.0
9,1,2,56.0
10,1,3,0.0
11,1,4,7.0
12,1,5,24.0
13,1,6,81.0
14,2,0,492.0
15,2,1,56.0
16,2,2,0.0
17,2,3,35.0
18,2,4,0.0
19,2,5,22.0
20,2,6,0.0
21,3,0,32.0
22,3,1,0.0
23,3,2,35.0
24,3,3,0.0
25,3,4,0.0
26,3,5,0.0
27,3,6,0.0
28,4,0,1.0
29,4,1,7.0
30,4,2,0.0
31,4,3,0.0
32,4,4,0.0
33,4,5,0.0
34,4,6,0.0
35,5,0,101.0
36,5,1,24.0
37,5,2,22.0
38,5,3,0.0
39,5,4,0.0
40,5,5,0.0
41,5,6,0.0
42,6,0,0.0
43,6,1,81.0
44,6,2,0.0
45,6,3,0.0
46,6,4,0.0
47,6,5,0.0
48,6,6,0.0
