,node,x_pos,y_pos
0,0,0.9790231277199453,0.06079645381592671
1,1,0.15703214532073556,0.05229866618926514
2,2,-0.05732809756335342,-0.37755496814395684
3,3,-0.6417955654570319,-0.10351933857635333
4,4,0.3278952053534201,-0.8789522198449484
5,5,-0.24480365912415789,-0.8008961567748685
6,6,0.35909211547206443,0.5741679901498528
7,7,0.6928344962469112,-0.8017168610665373
8,8,-0.7891981967061589,0.5209890647306655
9,9,-0.9952370921180642,0.13707161289870035
10,10,-1.0,-0.27339764427081215
11,11,-0.4876061139213476,0.839915211752936
12,12,-0.07550395862711863,0.953053601645756
13,13,0.8556219515241332,-0.4277455439970991
14,14,0.9199736418800225,0.5254901314914731
