,source,target,weight
0,0,1,8
1,0,2,9
2,0,3,22
3,1,2,588
4,1,10,5
5,1,3,3
6,1,5,146
7,1,6,10
8,1,12,6
9,2,4,36
10,2,3,7
11,2,5,630
12,2,6,152
13,2,12,2
14,3,8,248
15,3,9,891
16,3,7,40
17,3,6,5
18,3,5,52
19,3,4,2
20,4,11,1
21,4,5,82
22,4,13,292
23,4,14,25
24,4,6,41
25,5,6,108
26,5,12,3
27,5,13,1
28,6,12,28
29,12,11,6
30,8,9,1
31,9,7,14
32,13,14,1
