,source,target,weight
0,0,1,9
1,0,2,9
2,0,3,23
3,0,4,10
4,0,7,1
5,1,2,328
6,1,5,452
7,1,12,27
8,1,13,4
9,1,3,4
10,1,7,13
11,1,9,6
12,2,5,498
13,2,7,251
14,2,4,109
15,2,9,4
16,2,3,58
17,2,8,1
18,3,10,248
19,3,11,891
20,3,15,40
21,3,7,4
22,3,4,2
23,4,14,1
24,4,8,292
25,4,6,25
26,4,7,40
27,5,7,43
28,5,9,1
29,7,9,28
30,9,14,6
31,10,11,1
32,11,15,14
33,8,6,1
