,source,target,weight
0,0,1,9
1,0,2,10
2,0,3,23
3,0,4,10
4,1,2,352
5,1,5,443
6,1,11,27
7,1,12,4
8,1,3,4
9,1,6,13
10,1,8,6
11,2,5,479
12,2,6,226
13,2,4,124
14,2,8,8
15,2,3,60
16,2,14,1
17,3,9,248
18,3,10,905
19,3,6,2
20,3,4,2
21,4,13,1
22,4,14,292
23,4,7,25
24,4,6,25
25,5,6,43
26,5,8,1
27,6,8,24
28,8,13,6
29,9,10,1
30,14,7,1
