,node,x_pos,y_pos
0,0,0.9756766815307781,0.42008491604886916
1,1,0.6935457734388638,-0.268643932937774
2,2,0.21975436064801177,-0.07445993461350724
3,3,-0.3373494797466941,-0.32649072597166706
4,4,-0.6812042729286026,-0.7207889265754154
5,5,0.22584644712282248,0.18724327601195298
6,6,0.19853634717701749,0.9287904185842821
7,7,-0.8090179020390385,-0.5180085043570216
8,8,-0.7760235105616202,0.6520798250835818
9,9,-0.36045984053185315,0.7487402912399072
10,10,-0.3172754418389398,-0.917869417722507
11,11,0.9965426306773622,-0.01512710052045975
12,12,0.655406546623067,0.7309250857264233
13,13,0.31602166042882573,-0.8295734634570473
14,14,-0.9999999999999999,0.0030981934603818407
