,node,x_pos,y_pos
0,0,-0.805686904040589,0.6936715551756061
1,1,0.14862212196433405,-0.2875699535638535
2,2,0.6610899192140467,-0.190679255079103
3,3,-0.6364341196356854,-0.21884431016930225
4,4,0.2177165428186009,0.6299251851514637
5,5,0.93022787477607,-0.07066994623294122
6,6,0.7598525555526359,-0.629533265415153
7,7,0.29615365439844965,-0.3606424887308209
8,8,-0.9552425360466293,0.19173043109568663
9,9,0.348887040782521,-0.8615109014176839
10,10,-0.761044042390417,-0.749071702859054
11,11,-0.9825350141472556,-0.3091036540597441
12,12,0.7237487446008842,0.49306700850571
13,13,0.43906533448509405,0.6692312975991896
14,14,-0.3844211723320599,1.0
