,source,target,weight
0,0,1,9
1,0,2,9
2,0,3,23
3,0,4,10
4,0,6,1
5,1,2,336
6,1,5,453
7,1,12,27
8,1,13,4
9,1,3,4
10,1,6,13
11,1,9,6
12,2,5,493
13,2,6,251
14,2,4,109
15,2,9,4
16,2,3,58
17,2,7,1
18,3,10,248
19,3,11,905
20,3,6,4
21,3,4,2
22,4,14,1
23,4,7,292
24,4,8,25
25,4,6,40
26,5,6,43
27,5,9,1
28,6,9,28
29,9,14,6
30,10,11,1
31,7,8,1
